ResellerName,OrderDate,OrderQuantity,SalesAmount
Retail Mall,2012-06-30,5,"$1,622.26"
Retail Mall,2012-06-30,5,"$3,001.31"
Retail Mall,2012-06-30,3,$107.98
Retail Mall,2012-06-30,5,$100.93
Retail Mall,2012-06-30,5,$269.97
Retail Mall,2012-06-30,4,$270.16
Retail Mall,2012-06-30,2,$367.88
Retail Mall,2012-06-30,5,$75.00
Retail Mall,2012-06-30,3,"$3,926.81"
Retail Mall,2012-06-30,3,$973.36
Retail Mall,2012-06-30,5,$224.97
Retail Mall,2012-06-30,2,"$2,932.02"
Retail Mall,2012-06-30,4,"$1,297.81"
Retail Mall,2012-06-30,2,$71.99
Retail Mall,2012-06-30,1,$469.79
Retail Mall,2012-06-30,4,$115.36
Retail Mall,2012-06-30,3,$551.81
Retail Mall,2012-06-30,3,$42.39
Retail Mall,2012-06-30,4,"$5,235.75"
Retail Mall,2012-06-30,7,"$1,416.32"
Seventh Bike Store,2012-06-30,3,"$4,398.03"
Seventh Bike Store,2012-06-30,3,"$1,409.38"
Seventh Bike Store,2012-06-30,5,"$2,348.97"
Seventh Bike Store,2012-06-30,3,"$1,409.38"
Seventh Bike Store,2012-06-30,1,$600.26
Seventh Bike Store,2012-06-30,3,$134.98
Seventh Bike Store,2012-06-30,5,"$7,330.05"
Seventh Bike Store,2012-06-30,1,$469.79
Seventh Bike Store,2012-06-30,1,"$1,466.01"
Seventh Bike Store,2012-06-30,4,$20.75
Seventh Bike Store,2012-06-30,1,"$1,308.94"
Seventh Bike Store,2012-06-30,2,$939.59
Seventh Bike Store,2012-06-30,2,"$1,200.53"
Seventh Bike Store,2012-06-30,2,$939.59
Seventh Bike Store,2012-06-30,4,"$5,235.75"
Seventh Bike Store,2012-06-30,4,"$2,401.05"
Seventh Bike Store,2012-06-30,3,"$1,409.38"
Seventh Bike Store,2012-06-30,2,$939.59
Seventh Bike Store,2012-06-30,2,$40.37
Seventh Bike Store,2012-06-30,2,$939.59
Seventh Bike Store,2012-06-30,1,$600.26
Seventh Bike Store,2012-06-30,5,$144.20
Seventh Bike Store,2012-06-30,2,"$2,617.88"
Seventh Bike Store,2012-06-30,1,$44.99
Seventh Bike Store,2012-06-30,1,$20.19
Seventh Bike Store,2012-06-30,4,"$2,401.05"
Seventh Bike Store,2012-06-30,1,"$1,308.94"
Hobby Store,2012-06-30,1,$647.99
Immediate Repair Shop,2012-06-30,3,$588.99
Immediate Repair Shop,2012-06-30,3,"$1,943.98"
Immediate Repair Shop,2012-06-30,2,"$1,295.99"
Immediate Repair Shop,2012-06-30,4,"$4,917.84"
Immediate Repair Shop,2012-06-30,4,"$4,971.41"
Immediate Repair Shop,2012-06-30,3,"$3,688.38"
Immediate Repair Shop,2012-06-30,9,$205.15
Immediate Repair Shop,2012-06-30,6,"$3,887.96"
Immediate Repair Shop,2012-06-30,1,$141.62
Immediate Repair Shop,2012-06-30,5,$168.87
Immediate Repair Shop,2012-06-30,6,"$7,457.11"
Immediate Repair Shop,2012-06-30,2,$418.51
Immediate Repair Shop,2012-06-30,1,$647.99
Original Bicycle Supply Company,2012-06-30,1,"$1,229.46"
Original Bicycle Supply Company,2012-06-30,4,$179.98
Original Bicycle Supply Company,2012-06-30,1,"$1,242.85"
Original Bicycle Supply Company,2012-06-30,3,$42.39
Original Bicycle Supply Company,2012-06-30,5,"$1,046.28"
Original Bicycle Supply Company,2012-06-30,1,$744.27
Original Bicycle Supply Company,2012-06-30,2,"$2,458.92"
Original Bicycle Supply Company,2012-06-30,2,$275.39
Original Bicycle Supply Company,2012-06-30,1,$24.29
Original Bicycle Supply Company,2012-06-30,3,$107.98
Original Bicycle Supply Company,2012-06-30,1,$209.26
Original Bicycle Supply Company,2012-06-30,3,$161.98
Original Bicycle Supply Company,2012-06-30,2,"$1,295.99"
Original Bicycle Supply Company,2012-06-30,2,$40.37
Original Bicycle Supply Company,2012-06-30,3,$588.99
Original Bicycle Supply Company,2012-06-30,1,$22.79
Original Bicycle Supply Company,2012-06-30,3,$107.98
Original Bicycle Supply Company,2012-06-30,2,"$2,485.70"
Original Bicycle Supply Company,2012-06-30,2,"$1,472.29"
Original Bicycle Supply Company,2012-06-30,5,$708.08
Original Bicycle Supply Company,2012-06-30,2,"$2,485.70"
Original Bicycle Supply Company,2012-06-30,3,$101.32
Original Bicycle Supply Company,2012-06-30,4,$91.18
Original Bicycle Supply Company,2012-06-30,2,$72.89
Original Bicycle Supply Company,2012-06-30,2,"$1,488.55"
Original Bicycle Supply Company,2012-06-30,5,$59.97
Original Bicycle Supply Company,2012-06-30,4,$20.75
Original Bicycle Supply Company,2012-06-30,4,$115.36
Original Bicycle Supply Company,2012-06-30,1,$28.84
Original Bicycle Supply Company,2012-06-30,5,$75.00
Original Bicycle Supply Company,2012-06-30,6,$121.12
Original Bicycle Supply Company,2012-06-30,6,$269.96
Original Bicycle Supply Company,2012-06-30,3,$627.77
Original Bicycle Supply Company,2012-06-30,2,"$1,295.99"
Original Bicycle Supply Company,2012-06-30,1,$14.13
Original Bicycle Supply Company,2012-06-30,3,$161.98
Original Bicycle Supply Company,2012-06-30,4,$80.75
Original Bicycle Supply Company,2012-06-30,4,$115.36
Original Bicycle Supply Company,2012-06-30,1,$647.99
Original Bicycle Supply Company,2012-06-30,2,"$1,295.99"
Original Bicycle Supply Company,2012-06-30,1,$736.15
Spare Parts Co.,2012-06-30,2,$67.55
Spare Parts Co.,2012-06-30,2,"$2,458.92"
Spare Parts Co.,2012-06-30,1,$647.99
Spare Parts Co.,2012-06-30,2,"$1,295.99"
Spare Parts Co.,2012-06-30,2,$418.51
Spare Parts Co.,2012-06-30,1,$209.26
Spare Parts Co.,2012-06-30,2,"$2,485.70"
Spare Parts Co.,2012-06-30,10,$227.94
Spare Parts Co.,2012-06-30,3,$134.98
Spare Parts Co.,2012-06-30,1,$196.33
Spare Parts Co.,2012-06-30,2,$57.68
Spare Parts Co.,2012-06-30,4,"$4,917.84"
Spare Parts Co.,2012-06-30,5,"$6,147.29"
Spare Parts Co.,2012-06-30,14,$302.31
Spare Parts Co.,2012-06-30,5,"$3,239.97"
Spare Parts Co.,2012-06-30,3,"$1,943.98"
Spare Parts Co.,2012-06-30,2,$10.37
Spare Parts Co.,2012-06-30,5,$224.97
The Bike Shop,2012-06-30,1,$647.99
Latest Sports Equipment,2012-06-30,3,$68.38
Latest Sports Equipment,2012-06-30,4,$179.98
Latest Sports Equipment,2012-06-30,3,$627.77
Latest Sports Equipment,2012-06-30,4,$115.36
Latest Sports Equipment,2012-06-30,15,$297.75
Latest Sports Equipment,2012-06-30,4,"$4,971.41"
Latest Sports Equipment,2012-06-30,2,$392.66
Latest Sports Equipment,2012-06-30,3,"$3,688.38"
Latest Sports Equipment,2012-06-30,1,$209.26
Latest Sports Equipment,2012-06-30,7,"$8,699.96"
Latest Sports Equipment,2012-06-30,3,"$1,943.98"
Latest Sports Equipment,2012-06-30,3,$134.98
Latest Sports Equipment,2012-06-30,4,$566.46
Latest Sports Equipment,2012-06-30,4,"$4,917.84"
Latest Sports Equipment,2012-06-30,10,"$12,428.52"
Latest Sports Equipment,2012-06-30,10,"$12,294.59"
Latest Sports Equipment,2012-06-30,3,$15.56
Latest Sports Equipment,2012-06-30,6,"$3,887.96"
Latest Sports Equipment,2012-06-30,4,"$2,591.98"
Latest Sports Equipment,2012-06-30,9,"$5,831.95"
Real Sporting Goods,2012-06-30,6,$136.76
Real Sporting Goods,2012-06-30,3,$161.98
Real Sporting Goods,2012-06-30,2,$71.99
Real Sporting Goods,2012-06-30,4,$80.75
Real Sporting Goods,2012-06-30,3,"$3,688.38"
Real Sporting Goods,2012-06-30,1,$744.27
Real Sporting Goods,2012-06-30,1,$736.15
Real Sporting Goods,2012-06-30,6,"$7,457.11"
Real Sporting Goods,2012-06-30,3,$45.00
Real Sporting Goods,2012-06-30,5,$224.97
Real Sporting Goods,2012-06-30,4,$245.50
Real Sporting Goods,2012-06-30,3,"$3,728.56"
Real Sporting Goods,2012-06-30,3,$86.52
Real Sporting Goods,2012-06-30,2,$418.51
Real Sporting Goods,2012-06-30,1,$196.33
Real Sporting Goods,2012-06-30,1,$736.15
Real Sporting Goods,2012-06-30,5,"$3,239.97"
Real Sporting Goods,2012-06-30,1,$74.84
Real Sporting Goods,2012-06-30,2,"$2,458.92"
Real Sporting Goods,2012-06-30,10,$359.94
Real Sporting Goods,2012-06-30,5,$70.64
Real Sporting Goods,2012-06-30,5,"$3,239.97"
Real Sporting Goods,2012-06-30,3,"$3,688.38"
Real Sporting Goods,2012-06-30,1,$141.62
Real Sporting Goods,2012-06-30,2,"$1,295.99"
Real Sporting Goods,2012-06-30,4,$80.75
Real Sporting Goods,2012-06-30,1,$209.26
Real Sporting Goods,2012-06-30,1,$647.99
Real Sporting Goods,2012-06-30,4,$215.98
Real Sporting Goods,2012-06-30,3,$60.56
Real Sporting Goods,2012-06-30,3,$413.08
Real Sporting Goods,2012-06-30,8,$41.49
Real Sporting Goods,2012-06-30,5,$224.97
Real Sporting Goods,2012-06-30,2,$48.59
Real Sporting Goods,2012-06-30,1,$28.84
Real Sporting Goods,2012-06-30,2,"$2,485.70"
Real Sporting Goods,2012-06-30,4,$115.36
Real Sporting Goods,2012-06-30,3,"$2,232.82"
Real Sporting Goods,2012-06-30,1,$36.45
Real Sporting Goods,2012-06-30,5,$59.97
Trusted Catalog Store,2012-06-30,1,"$1,229.46"
Trusted Catalog Store,2012-06-30,2,$45.59
Juvenile Sports Equipment,2012-06-30,5,$113.97
Juvenile Sports Equipment,2012-06-30,3,$86.52
Juvenile Sports Equipment,2012-06-30,6,"$7,457.11"
Juvenile Sports Equipment,2012-06-30,2,"$1,295.99"
Juvenile Sports Equipment,2012-06-30,1,$647.99
Juvenile Sports Equipment,2012-06-30,4,"$4,971.41"
Juvenile Sports Equipment,2012-06-30,2,"$2,458.92"
Juvenile Sports Equipment,2012-06-30,1,$53.99
Juvenile Sports Equipment,2012-06-30,1,$141.62
Juvenile Sports Equipment,2012-06-30,1,$35.99
Juvenile Sports Equipment,2012-06-30,3,$101.32
Juvenile Sports Equipment,2012-06-30,5,$981.65
Juvenile Sports Equipment,2012-06-30,3,$15.56
Juvenile Sports Equipment,2012-06-30,2,$89.99
Juvenile Sports Equipment,2012-06-30,9,$205.15
Juvenile Sports Equipment,2012-06-30,8,$359.95
Juvenile Sports Equipment,2012-06-30,1,$20.19
Juvenile Sports Equipment,2012-06-30,2,"$2,458.92"
Juvenile Sports Equipment,2012-06-30,1,$209.26
Citywide Service and Repair,2012-06-30,5,$70.64
Citywide Service and Repair,2012-06-30,2,$404.66
Citywide Service and Repair,2012-06-30,4,"$1,879.18"
Citywide Service and Repair,2012-06-30,3,"$1,409.38"
Citywide Service and Repair,2012-06-30,8,$431.95
Citywide Service and Repair,2012-06-30,6,$90.00
Citywide Service and Repair,2012-06-30,1,$20.19
Citywide Service and Repair,2012-06-30,5,"$3,001.31"
Citywide Service and Repair,2012-06-30,2,$939.59
Citywide Service and Repair,2012-06-30,2,$57.68
Citywide Service and Repair,2012-06-30,5,$59.97
Citywide Service and Repair,2012-06-30,3,$134.98
Citywide Service and Repair,2012-06-30,3,"$1,409.38"
Citywide Service and Repair,2012-06-30,3,$202.62
Citywide Service and Repair,2012-06-30,3,$86.52
Citywide Service and Repair,2012-06-30,5,$144.20
Citywide Service and Repair,2012-06-30,4,$80.75
Citywide Service and Repair,2012-06-30,6,$323.96
Citywide Service and Repair,2012-06-30,8,"$3,758.35"
Citywide Service and Repair,2012-06-30,2,"$2,932.02"
Citywide Service and Repair,2012-06-30,1,$202.33
Citywide Service and Repair,2012-06-30,1,$324.45
Citywide Service and Repair,2012-06-30,3,$60.56
Citywide Service and Repair,2012-06-30,2,$367.88
Citywide Service and Repair,2012-06-30,1,$202.33
Citywide Service and Repair,2012-06-30,1,$35.99
Citywide Service and Repair,2012-06-30,2,"$2,932.02"
Citywide Service and Repair,2012-06-30,1,$600.26
Citywide Service and Repair,2012-06-30,5,$224.97
Citywide Service and Repair,2012-06-30,7,"$2,271.17"
Citywide Service and Repair,2012-06-30,3,$607.00
Citywide Service and Repair,2012-06-30,1,"$1,308.94"
Citywide Service and Repair,2012-06-30,1,"$1,308.94"
Citywide Service and Repair,2012-06-30,3,"$1,409.38"
Citywide Service and Repair,2012-06-30,8,$41.49
Citywide Service and Repair,2012-06-30,2,$71.99
General Bike Corporation,2012-06-30,2,$939.59
General Bike Corporation,2012-06-30,1,$469.79
General Bike Corporation,2012-06-30,2,$939.59
General Bike Corporation,2012-06-30,1,$469.79
Steel Inc.,2012-06-30,2,$23.99
Steel Inc.,2012-06-30,5,$75.00
Steel Inc.,2012-06-30,5,$144.20
Steel Inc.,2012-06-30,4,$56.52
Steel Inc.,2012-06-30,3,$60.56
Steel Inc.,2012-06-30,8,$161.49
Steel Inc.,2012-06-30,6,$323.96
Steel Inc.,2012-06-30,2,$107.99
Steel Inc.,2012-06-30,5,$224.97
Steel Inc.,2012-06-30,5,$144.20
Steel Inc.,2012-06-30,4,"$1,879.18"
Steel Inc.,2012-06-30,5,$100.93
Steel Inc.,2012-06-30,4,$143.98
Steel Inc.,2012-06-30,2,$939.59
Steel Inc.,2012-06-30,1,$28.84
Steel Inc.,2012-06-30,7,$251.96
Steel Inc.,2012-06-30,3,$134.98
"Health Spa, Limited",2012-06-30,3,"$1,800.79"
"Health Spa, Limited",2012-06-30,3,$594.11
"Health Spa, Limited",2012-06-30,5,"$2,348.97"
"Health Spa, Limited",2012-06-30,10,"$4,697.94"
"Health Spa, Limited",2012-06-30,6,"$1,103.63"
"Health Spa, Limited",2012-06-30,3,"$1,409.38"
"Health Spa, Limited",2012-06-30,2,$939.59
"Health Spa, Limited",2012-06-30,3,$607.00
"Health Spa, Limited",2012-06-30,1,$324.45
"Health Spa, Limited",2012-06-30,5,$179.97
"Health Spa, Limited",2012-06-30,1,$53.99
"Health Spa, Limited",2012-06-30,5,"$1,622.26"
"Health Spa, Limited",2012-06-30,2,"$2,932.02"
"Health Spa, Limited",2012-06-30,1,$20.19
"Health Spa, Limited",2012-06-30,7,"$3,288.56"
"Health Spa, Limited",2012-06-30,2,$367.88
"Health Spa, Limited",2012-06-30,3,$607.00
"Health Spa, Limited",2012-06-30,4,$809.33
"Health Spa, Limited",2012-06-30,1,$14.13
"Health Spa, Limited",2012-06-30,5,"$2,348.97"
"Health Spa, Limited",2012-06-30,5,$337.70
"Health Spa, Limited",2012-06-30,8,"$3,758.35"
"Health Spa, Limited",2012-06-30,8,"$3,758.35"
"Health Spa, Limited",2012-06-30,7,"$4,201.84"
"Health Spa, Limited",2012-06-30,1,"$1,466.01"
"Health Spa, Limited",2012-06-30,1,$324.45
"Health Spa, Limited",2012-06-30,2,$939.59
"Health Spa, Limited",2012-06-30,4,$809.33
Associated Bikes,2012-06-30,1,"$1,242.85"
Associated Bikes,2012-06-30,1,$33.77
Associated Bikes,2012-06-30,3,$60.56
Associated Bikes,2012-06-30,3,$161.98
Rally Day Mall,2012-06-30,3,"$1,409.38"
Rally Day Mall,2012-06-30,2,$28.26
Rally Day Mall,2012-06-30,3,"$1,409.38"
Rally Day Mall,2012-06-30,3,$86.52
